Start of Prestorm	Storm Onset		Min Dst Time		End Fast Recovery	End Early Recovery 	End long Recovery	MinDst
2002-01-09/23:50:00	2002-01-10/07:00:00	2002-01-11/06:20:00	2002-01-11/08:00:00	2002-01-12/00:40:00	2002-01-14/01:20:00	-64
2002-02-01/22:30:00	2002-02-02/02:30:00	2002-02-02/10:30:00	2002-02-02/12:20:00	2002-02-02/19:32:00	2002-02-04/21:30:00	-82
2002-02-04/21:30:00	2002-02-05/10:00:00	2002-02-05/20:00:00	2002-02-05/22:40:00	2002-02-06/21:21:00	2002-02-07/21:20:00	-78
2002-02-28/04:40:00	2002-02-28/21:00:00	2002-03-01/06:40:00	2002-03-01/10:40:00	2002-03-01/20:52:30	2002-03-03/01:30:00	-63
2002-03-18/13:26:00	2002-03-18/22:50:00	2002-03-19/06:00:00	2002-03-19/11:00:00	2002-03-19/10:21:00	2002-03-20/15:04:30	-42
2002-03-23/11:43:00	2002-03-24/00:00:00	2002-03-24/09:00:00	2002-03-24/12:20:00	2002-03-25/09:06:00	2002-03-26/01:00:00	-102
2002-04-12/23:00:00	2002-04-12/23:00:00	2002-04-13/15:00:00	2002-04-13/19:40:00	2002-04-13/23:02:40	2002-04-14/01:40:00	-44
2002-04-17/11:00:00	2002-04-17/11:00:00	2002-04-17/17:00:00	2002-04-17/20:20:00	2002-04-18/00:02:00	2002-04-18/00:02:00	-103
2002-04-18/00:02:00	2002-04-18/00:02:00	2002-04-18/10:30:00	2002-04-18/12:00:00	2002-04-19/03:10:00	2002-04-19/03:10:00	-126
2002-04-19/08:40:00	2002-04-19/08:40:00	2002-04-19/18:00:00	2002-04-19/23:00:00	2002-04-20/02:10:00	2002-04-20/02:10:00	-121
2002-04-20/02:10:00	2002-04-20/02:10:00	2002-04-20/07:00:00	2002-04-20/10:40:00	2002-04-21/01:42:00	2002-04-23/04:53:30	-150
2002-04-23/04:53:30	2002-04-23/05:01:00	2002-04-23/08:00:00	2002-04-23/09:20:00	2002-04-24/18:10:00	2002-04-26/09:00:00	-56
2002-05-11/10:00:00	2002-05-11/10:00:00	2002-05-11/18:40:00	2002-05-11/22:40:00 	2002-05-12/21:30:00	2002-05-13/12:40:00	-103
2002-05-13/12:40:00	2002-05-13/23:50:00	2002-05-14/11:00:00	2002-05-14/14:20:00	2002-05-16/02:40:30	2002-05-17/23:40:00	-61
2002-05-18/20:12:00	2002-05-18/21:00:00	2002-05-19/06:40:00	2002-05-19/10:00:00	2002-05-20/03:30:00	2002-05-20/05:00:00	-56
2002-05-23/10:58:20	2002-05-23/11:00:00	2002-05-23/17:20:00	2002-05-24/01:40:00	2002-05-25/01:00:00	2002-05-26/03:20:00	-110
2002-05-27/03:00:00	2002-05-27/03:00:00	2002-05-27/09:00:00	2002-05-27/10:40:00	2002-05-28/02:00:00	2002-05-30/02:30:00	-60
2002-08-01/05:14:00	2002-08-01/09:54:00	2002-08-01/14:00:00	2002-08-01/15:00:00	2002-08-01/20:30:00	2002-08-01/22:59:30	-50
2002-08-01/22:59:30	2002-08-01/22:59:30	2002-08-02/05:00:00	2002-08-02/07:20:00	2002-08-02/10:58:00	2002-08-03/23:05:00	-96
2002-08-03/23:05:00	2002-08-03/23:05:00	2002-08-04/05:10:00	2002-08-04/07:15:00	2002-08-04/16:30:00	2002-08-05/05:30:00	-53
2002-08-18/18:52:00	2002-08-18/20:01:00	2002-08-19/07:20:00	2002-08-19/11:30:00	2002-08-19/11:30:00	2002-08-19/11:30:00	-47
